symbol,name,reportDate,fiscalDateEnding,estimate,currency
AGO,Assured Guaranty Ltd,2021-02-25,2020-12-31,0.61,USD
AGR,Avangrid Inc,2021-02-23,2020-12-31,0.58,USD
AGR,Avangrid Inc,2021-04-20,2021-03-31,,USD
AGRO,Adecoagro SA,2021-03-10,2020-12-31,,USD
AGRX,Agile Therapeutics Inc,2021-02-18,2020-12-31,-0.22,USD
AGX,Argan Inc,2021-04-12,2021-01-31,0.47,USD
AGYS,Agilysys Inc,2021-01-26,2020-12-31,0.2,USD
AHH,Armada Hoffler Properties Inc,2021-02-11,2020-12-31,0.1,USD
AHT,Ashford Hospitality Trust Inc,2021-02-24,2020-12-31,-12.6,USD
AIG,American International Group Inc,2021-02-11,2020-12-31,0.9,USD
AIKI,AIkido Pharma Inc,2021-02-01,2020-12-31,,USD
AIMC,Altra Industrial Motion Corp,2021-02-11,2020-12-31,0.68,USD
AIMT,AIMT,2021-02-25,2020-12-31,,USD
AIN,Albany International Corp,2021-02-10,2020-12-31,0.66,USD
AINV,Apollo Investment Corp,2021-02-04,2020-12-31,0.39,USD
AIR,AAR Corp,2021-03-22,2021-02-28,0.41,USD
AIRT,Air T Inc,2021-02-11,2020-12-31,,USD
AIRTP,Air T Inc Air T Funding Trust Preferred Securities,2021-02-11,2020-12-31,,USD
AIT,Applied Industrial Technologies Inc,2021-01-28,2020-12-31,0.74,USD
AIV,Apartment Investment & Management Co. - Class A,2021-01-28,2020-12-31,-0.06,USD
AIW,Arlington Asset Investment Corp,2021-02-16,2020-12-31,,USD
AIZ,Assurant Inc,2021-02-09,2020-12-31,2.1,USD
AIZP,Assurant Inc,2021-02-09,2020-12-31,,USD
AI_OLD,AI_OLD,2021-02-16,2020-12-31,,USD
AJG,Arthur J. Gallagher & Company,2021-01-28,2020-12-31,0.78,USD
AJRD,Aerojet Rocketdyne Holdings Inc,2021-02-17,2020-12-31,0.47,USD
AJX,Great Ajax Corp,2021-03-01,2020-12-31,0.23,USD
AKAM,Akamai Technologies Inc,2021-02-09,2020-12-31,1.31,USD
AKBA,Akebia Therapeutics Inc,2021-03-08,2020-12-31,-0.4,USD
AKCA,AKCA,2021-02-23,2020-12-31,,USD
AKER,Akers Biosciences Inc,2021-03-31,2020-12-31,,USD
AKR,Acadia Realty Trust,2021-02-10,2020-12-31,-0.12,USD
AKS,AKS,2021-02-18,2020-12-31,,USD
AL,Air Lease Corp,2021-02-22,2020-12-31,0.79,USD
ALB,Albemarle Corp,2021-02-17,2020-12-31,1.06,USD
ALCO,Alico Inc,2021-02-04,2020-12-31,,USD
ALE,ALLETE Inc,2021-02-11,2020-12-31,0.77,USD
ALEC,Alector Inc,2021-03-22,2020-12-31,-0.66,USD
ALEX,Alexander & Baldwin Inc,2021-02-24,2020-12-31,,USD
ALG,Alamo Group Inc,2021-02-25,2020-12-31,1.37,USD
ALGN,Align Technology Inc,2021-02-03,2020-12-31,2.13,USD
ALGT,Allegiant Travel,2021-02-03,2020-12-31,-2.26,USD
ALIM,Alimera Sciences Inc,2021-02-24,2020-12-31,-0.1,USD
ALK,Alaska Air Group Inc,2021-01-26,2020-12-31,-2.84,USD
ALKS,Alkermes plc,2021-02-10,2020-12-31,0.07,USD
ALL,Allstate Corp (The),2021-02-03,2020-12-31,3.67,USD
ALLE,Allegion plc,2021-02-16,2020-12-31,1.18,USD
ALLE,Allegion plc,2021-04-21,2021-03-31,,USD
ALLK,Allakos Inc,2021-02-23,2020-12-31,-0.86,USD
ALLO,Allogene Therapeutics Inc,2021-02-25,2020-12-31,-0.56,USD
ALLT,Allot Ltd,2021-02-02,2020-12-31,0.01,USD
ALLY,Ally Financial Inc,2021-01-22,2020-12-31,1.05,USD
ALLY,Ally Financial Inc,2021-04-19,2021-03-31,,USD
ALNY,Alnylam Pharmaceuticals Inc,2021-02-04,2020-12-31,-1.73,USD
ALRM,Alarm.com Holdings Inc,2021-02-23,2020-12-31,0.27,USD
ALRS,Alerus Financial Corp,2021-01-27,2020-12-31,0.62,USD
ALSK,Alaska Communications Systems Group Inc,2021-03-08,2020-12-31,,USD
ALSN,Allison Transmission Holdings Inc,2021-02-17,2020-12-31,0.69,USD
ALT,Altimmune Inc,2021-03-25,2020-12-31,-0.79,USD
ALTA,Altabancorp,2021-01-27,2020-12-31,0.53,USD
ALV,Autoliv Inc,2021-01-26,2020-12-31,1.88,USD
ALV,Autoliv Inc,2021-04-22,2021-03-31,,USD
ALX,Alexanders Inc,2021-02-16,2020-12-31,,USD
ALXN,Alexion Pharmaceuticals Inc,2021-01-28,2020-12-31,2.56,USD
AM,Antero Midstream Corp,2021-02-10,2020-12-31,0.2,USD
AMAG,AMAG,2021-03-02,2020-12-31,0.05,USD
AMAL,Amalgamated Bank,2021-01-28,2020-12-31,0.33,USD
AMAT,Applied Materials Inc,2021-02-10,2021-01-31,1.26,USD
AMBA,Ambarella Inc,2021-03-01,2021-01-31,0.08,USD
AMBC,Ambac Financial Group Inc,2021-03-01,2020-12-31,-0.68,USD
AMC,AMC Entertainment Holdings Inc - Class A,2021-02-25,2020-12-31,-4.14,USD
AMCI,Amci Acquisition Corp - Class A,2021-03-25,2020-12-31,,USD
AMCR,Amcor Plc,2021-02-08,2020-12-31,0.17,USD
AMCX,AMC Networks Inc Class A,2021-02-24,2020-12-31,0.52,USD
AMD,Advanced Micro Devices Inc,2021-01-26,2020-12-31,0.47,USD
AME,Ametek Inc,2021-02-04,2020-12-31,1.03,USD
AMED,Amedisys Inc,2021-02-16,2020-12-31,1.46,USD
AMG,Affiliated Managers Group Inc,2021-02-01,2020-12-31,3.68,USD
AMGN,AMGEN Inc,2021-02-02,2020-12-31,3.41,USD
AMH,American Homes 4 Rent Class A,2021-02-25,2020-12-31,0.06,USD
AMKR,AMKOR Technology Inc,2021-02-08,2020-12-31,0.37,USD
AMN,AMN Healthcare Services Inc,2021-02-11,2020-12-31,0.87,USD
AMNB,American National Bankshares Inc,2021-04-21,2021-03-31,,USD
AMP,Ameriprise Financial Inc,2021-01-27,2020-12-31,4.5,USD
AMPE,Ampio Pharmaceuticals Inc,2021-02-18,2020-12-31,,USD
AMRS,Amyris Inc,2021-03-10,2020-12-31,-0.09,USD
AMSC,American Superconductor Corp,2021-02-03,2020-12-31,-0.13,USD
AMSF,Amerisafe Inc,2021-02-24,2020-12-31,0.84,USD
AMT,American Tower Corp,2021-02-23,2020-12-31,1.26,USD
AMTB,Amerant Bancorp Inc - Class A,2021-01-29,2020-12-31,0.13,USD
AMTD,AMTD,2021-04-20,2021-03-31,,USD
AMTX,Aemetis Inc,2021-03-10,2020-12-31,,USD
AMWD,American Woodmark Corp,2021-02-23,2021-01-31,1.61,USD
AMZN,Amazon.com Inc,2021-01-28,2020-12-31,7.16,USD
AN,Autonation Inc,2021-02-09,2020-12-31,2.04,USD
ANAB,AnaptysBio Inc,2021-03-01,2020-12-31,1.06,USD
ANAT,American National Group Inc,2021-02-22,2020-12-31,,USD
ANDE,Andersons Inc,2021-02-10,2020-12-31,0.55,USD
ANET,Arista Networks Inc,2021-02-11,2020-12-31,2.38,USD
ANF,Abercrombie & Fitch Co. - Class A,2021-03-02,2021-02-28,1.18,USD
ANFIF,ANFIF,2021-02-15,2020-12-31,,USD
ANGI,ANGI Homeservices Inc - Class A,2021-02-03,2020-12-31,-0.02,USD
ANGO,Angiodynamic Inc,2021-04-05,2021-02-28,-0.02,USD
ANH,Anworth Mortgage Asset Corp,2021-02-23,2020-12-31,0.07,USD
ANSS,Ansys Inc,2021-02-24,2020-12-31,2.54,USD
ANTM,Anthem Inc,2021-01-27,2020-12-31,2.52,USD
