symbol,name,reportDate,fiscalDateEnding,estimate,currency
DBX,Dropbox Inc - Class A,2021-02-18,2020-12-31,0.24,USD
DCI,Donaldson Co. Inc,2021-03-03,2021-01-31,0.51,USD
DCO,Ducommun Inc,2021-02-18,2020-12-31,0.77,USD
DCP,DCP Midstream LP,2021-02-10,2020-12-31,0.54,USD
DCPH,Deciphera Pharmaceuticals Inc,2021-03-08,2020-12-31,-1.14,USD
DCTH,Delcath Systems Inc,2021-03-23,2020-12-31,-1.08,USD
DCTH_OLD,DCTH_OLD,2021-03-23,2020-12-31,-1.1,USD
DCUE,Dominion Energy Inc,2021-02-09,2020-12-31,,USD
DD,DuPont de Nemours Inc,2021-01-28,2020-12-31,0.79,USD
DDD,3D Systems Corp,2021-02-24,2020-12-31,0.08,USD
DDOG,Datadog Inc - Class A,2021-02-11,2020-12-31,0.02,USD
DDS,Dillard`s Inc - Class A,2021-02-23,2020-11-30,2.55,USD
DE,Deere & Company,2021-02-19,2021-01-31,2.09,USD
DE,Deere & Company,2021-02-19,2020-11-30,2.08,USD
DECK,Deckers Outdoor Corp,2021-01-28,2020-12-31,7.01,USD
DEI,Douglas Emmett Inc,2021-02-09,2020-12-31,0.02,USD
DELL,Dell Technologies Inc - Class C,2021-02-25,2021-01-31,2.13,USD
DEN,Denbury Inc - New,2021-02-23,2020-12-31,,USD
DFS,Discover Financial Services,2021-04-20,2021-03-31,,USD
DG,Dollar General Corp,2021-03-10,2021-01-31,2.72,USD
DGICA,Donegal Group Inc,2021-02-22,2020-12-31,0.33,USD
DGII,Digi International Inc,2021-02-03,2020-12-31,0.06,USD
DGX,Quest Diagnostics Inc,2021-02-04,2020-12-31,3.99,USD
DGX,Quest Diagnostics Inc,2021-04-20,2021-03-31,,USD
DHC,Diversified Healthcare Trust,2021-03-01,2020-12-31,-0.18,USD
DHCNL,Senior Housing Properties Trust 625 Senior Notes Due 2046,2021-03-01,2020-12-31,,USD
DHI,D.R. Horton Inc,2021-01-26,2020-12-31,1.68,USD
DHIL,Diamond Hill Investment Group Inc - Class A,2021-02-25,2020-12-31,,USD
DHR,Danaher Corp,2021-01-28,2020-12-31,1.87,USD
DHT,DHT Holdings Inc,2021-02-03,2020-12-31,0.14,USD
DHX,DICE HOLDINGS INC,2021-02-03,2020-12-31,0.03,USD
DIN,Dine Brands Global Inc,2021-02-22,2020-12-31,0.89,USD
DIOD,Diodes Inc,2021-02-09,2020-12-31,0.7,USD
DIS,Walt Disney Co (The),2021-02-11,2020-12-31,-0.44,USD
DISCA,Discovery Inc - Class A,2021-02-25,2020-12-31,0.69,USD
DISCK,Discovery Inc - Series C,2021-02-25,2020-12-31,,USD
DISH,Dish Network Corp - Class A,2021-02-17,2020-12-31,0.75,USD
DJCO,Daily Journal Corporation,2021-02-05,2020-12-31,,USD
DK,Delek US Holdings Inc,2021-02-23,2020-12-31,-1.49,USD
DKL,Delek Logistics Partners LP,2021-02-23,2020-12-31,1.15,USD
DKS,Dicks Sporting Goods Inc,2021-03-08,2021-02-28,2.16,USD
DLA,Delta Apparel Inc,2021-02-08,2020-12-31,-0.05,USD
DLB,Dolby Laboratories Inc - Class A,2021-01-27,2020-12-31,1.04,USD
DLNG,Dynagas LNG Partners LP,2021-03-10,2020-12-31,0.2,USD
DLR,Digital Realty Trust Inc,2021-02-11,2020-12-31,0.2,USD
DLTR,Dollar Tree Inc,2021-03-02,2021-02-28,2.11,USD
DLX,Deluxe Corp,2021-02-04,2020-12-31,1.19,USD
DMPI,DMPI,2021-02-11,2020-12-31,,USD
DNKN,Dunkin Brands Group Inc,2021-02-04,2020-12-31,0.73,USD
DNLI,Denali Therapeutics Inc,2021-02-25,2020-12-31,0.01,USD
DNOW,NOW Inc,2021-02-17,2020-12-31,-0.19,USD
DNR,DNR,2021-02-23,2020-12-31,,USD
DNRCQ,DNRCQ,2021-02-23,2020-12-31,,USD
DO,DO,2021-02-08,2020-12-31,,USD
DOC,Physicians Realty Trust,2021-02-25,2020-12-31,0.08,USD
DOCU,DocuSign Inc,2021-03-10,2021-01-31,0.22,USD
DOFSQ,DOFSQ,2021-02-08,2020-12-31,-0.6,USD
DOOR,Masonite International Corp,2021-02-16,2020-12-31,1.13,USD
DORM,Dorman Products Inc,2021-02-22,2020-12-31,0.92,USD
DOV,Dover Corp,2021-01-28,2020-12-31,1.38,USD
DOV,Dover Corp,2021-04-19,2021-03-31,,USD
DOW,Dow Inc,2021-01-28,2020-12-31,0.62,USD
DOX,Amdocs Ltd,2021-02-02,2020-12-31,1.14,USD
DPZ,Dominos Pizza Inc,2021-02-18,2020-12-31,3.88,USD
DPZ,Dominos Pizza Inc,2021-04-21,2021-03-31,,USD
DQ,Daqo New Energy Corp,2021-03-09,2020-12-31,1.11,USD
DRE,Duke Realty Corp,2021-01-27,2020-12-31,0.15,USD
DRH,Diamondrock Hospitality Company,2021-02-24,2020-12-31,-0.31,USD
DRI,Darden Restaurants Inc,2021-03-17,2021-02-28,0.65,USD
DRNA,Dicerna Pharmaceuticals Inc,2021-02-25,2020-12-31,-0.06,USD
DRQ,Dril-Quip Inc,2021-02-25,2020-12-31,-0.03,USD
DS,Drive Shack Inc,2021-03-03,2020-12-31,-0.19,USD
DSPG,DSP Group Inc,2021-02-01,2020-12-31,0.07,USD
DSS,Document Security Systems Inc,2021-04-05,2021-03-31,,USD
DSX,Diana Shipping Inc,2021-02-19,2020-12-31,-0.05,USD
DT,Dynatrace Inc,2021-02-03,2020-12-31,0.13,USD
DTE,DTE Energy Company,2021-02-03,2020-12-31,1.27,USD
DTY,DTE Energy Company,2021-02-03,2020-12-31,,USD
DUK,Duke Energy Corp,2021-02-11,2020-12-31,1.06,USD
DVA,DaVita Inc,2021-02-08,2020-12-31,1.91,USD
DVAX,Dynavax Technologies Corp,2021-03-09,2020-12-31,-0.23,USD
DVN,Devon Energy Corp,2021-02-16,2020-12-31,0.02,USD
DX,Dynex Capital Inc,2021-02-04,2020-12-31,0.51,USD
DXC,DXC Technology Company,2021-02-04,2020-12-31,0.54,USD
DXLG,Destination XL Group Inc,2021-02-16,2020-11-30,,USD
DXLG,Destination XL Group Inc,2021-03-18,2021-02-28,,USD
DY,Dycom Industries Inc,2021-02-24,2021-01-31,0.04,USD
DYAI,Dyadic International Inc DE,2021-03-29,2020-12-31,-0.08,USD
EA,Electronic Arts Inc,2021-02-02,2020-12-31,2.95,USD
EAF,GrafTech International Ltd,2021-02-05,2020-12-31,0.39,USD
EARN,Ellington Residential Mortgage REIT,2021-02-08,2020-12-31,0.33,USD
EAST,Eastside Distilling Inc,2021-03-29,2020-12-31,-0.14,USD
EAT,Brinker International Inc,2021-01-27,2020-12-31,0.38,USD
EBAY,EBay Inc,2021-02-03,2020-12-31,0.83,USD
EBF,Ennis Inc,2021-04-19,2021-02-28,0.27,USD
EBIX,Ebix Inc,2021-03-01,2020-12-31,0.92,USD
EBS,Emergent Biosolutions Inc,2021-02-18,2020-12-31,3.17,USD
EBSB,Meridian Interstate Bancorp Inc,2021-01-26,2020-12-31,0.32,USD
EBSB,Meridian Interstate Bancorp Inc,2021-04-19,2021-03-31,,USD
ECHO,Echo Global Logistics Inc,2021-02-03,2020-12-31,0.43,USD
ECHO,Echo Global Logistics Inc,2021-04-20,2021-03-31,,USD
ECL,Ecolab Inc,2021-02-16,2020-12-31,1.25,USD
ECOL,US Ecology Inc,2021-02-24,2020-12-31,0.13,USD
ECOM,ChannelAdvisor Corp,2021-02-10,2020-12-31,0.22,USD
ECOR,ElectroCore Inc,2021-03-22,2020-12-31,-0.1,USD
ECPG,Encore Capital Group Inc,2021-02-24,2020-12-31,2.13,USD
ED,Consolidated Edison Inc,2021-02-18,2020-12-31,0.79,USD
EDAP,EDAP TMS SA ADR,2021-03-29,2020-12-31,0.04,EUR
EDIT,Editas Medicine Inc,2021-02-24,2020-12-31,-0.75,USD
EDRY,EuroDry Ltd,2021-02-10,2020-12-31,-0.39,USD
EDSA,Edesa Biotech Inc,2021-02-11,2020-12-31,-0.16,USD
EDU,New Oriental Education & Technology Group Inc,2021-01-22,2020-11-30,0.34,USD
EDU,New Oriental Education & Technology Group Inc,2021-04-19,2021-02-28,,USD
EE,EE,2021-02-24,2020-12-31,,USD
EEFT,Euronet Worldwide Inc,2021-02-09,2020-12-31,0.72,USD
EFC,Ellington Financial LLC,2021-02-10,2020-12-31,0.51,USD
EFSC,Enterprise Financial Services Corp,2021-01-25,2020-12-31,0.69,USD
EFSC,Enterprise Financial Services Corp,2021-04-19,2021-03-31,,USD
EFX,Equifax Inc,2021-02-10,2020-12-31,1.81,USD
EFX,Equifax Inc,2021-04-19,2021-03-31,,USD
EGBN,Eagle Bancorp Inc (MD),2021-01-27,2020-12-31,1.05,USD
EGBN,Eagle Bancorp Inc (MD),2021-04-20,2021-03-31,,USD
EGHT,8X8 Inc,2021-02-02,2020-12-31,-0.03,USD
EGOV,NIC Inc,2021-01-27,2020-12-31,0.25,USD
EGP,Eastgroup Properties Inc,2021-02-09,2020-12-31,0.61,USD
EHC,Encompass Health Corp,2021-01-26,2020-12-31,0.85,USD
EHTH,eHealth Inc,2021-02-18,2020-12-31,4.03,USD
EHTH,eHealth Inc,2021-04-21,2021-03-31,,USD
EIDX,Eidos Therapeutics Inc,2021-02-24,2020-12-31,-0.81,USD
EIG,Employers Holdings Inc,2021-02-17,2020-12-31,0.43,USD
EIG,Employers Holdings Inc,2021-04-21,2021-03-31,,USD
EIGI,Endurance International Group Holdings Inc,2021-02-04,2020-12-31,0.03,USD
EIGR,Eiger BioPharmaceuticals Inc,2021-03-11,2020-12-31,0.25,USD
EIX,Edison International,2021-02-25,2020-12-31,1.21,USD
EL,Estee Lauder Cos. Inc - Class A,2021-02-05,2020-12-31,,USD
ELA,Envela Corp,2021-03-22,2020-12-31,,USD
ELAN,Elanco Animal Health Inc,2021-02-17,2020-12-31,0.09,USD
ELF,e.l.f. Beauty Inc,2021-02-03,2020-12-31,0.24,USD
ELGX,ELGX,2021-02-17,2020-12-31,,USD
ELGXQ,ELGXQ,2021-02-17,2020-12-31,,USD
ELLO,Ellomay Capital Ltd,2021-03-29,2020-12-31,,EUR
ELS,Equity Lifestyle Properties Inc,2021-01-25,2020-12-31,0.33,USD
ELS,Equity Lifestyle Properties Inc,2021-04-19,2021-03-31,,USD
ELY,Callaway Golf Company,2021-02-08,2020-12-31,-0.21,USD
EME,Emcor Group Inc,2021-02-25,2020-12-31,1.44,USD
EMN,Eastman Chemical Company,2021-01-28,2020-12-31,1.49,USD
EMR,Emerson Electric Company,2021-02-02,2020-12-31,0.68,USD
EMR,Emerson Electric Company,2021-04-19,2021-03-31,,USD
ENBL,Enable Midstream Partners LP,2021-02-17,2020-12-31,0.13,USD
ENDP,Endo International plc,2021-02-24,2020-12-31,0.44,USD
ENG,Englobal Corp,2021-03-24,2020-12-31,,USD
ENLC,Enlink Midstream LLC,2021-02-23,2020-12-31,0.01,USD
ENPH,Enphase Energy Inc,2021-02-16,2020-12-31,0.41,USD
ENR,Energizer Holdings Inc,2021-02-08,2020-12-31,0.89,USD
ENS,Enersys,2021-02-03,2020-12-31,1.19,USD
ENSG,Ensign Group Inc,2021-02-03,2020-12-31,0.78,USD
ENSV,Enservco Corp,2021-03-18,2020-12-31,-0.9,USD
ENT,ENT,2021-03-16,2020-12-31,,USD
ENTA,Enanta Pharmaceuticals Inc,2021-02-08,2020-12-31,-0.79,USD
ENTG,Entegris Inc,2021-02-02,2020-12-31,0.65,USD
ENTG,Entegris Inc,2021-04-19,2021-03-31,,USD
ENV,Envestnet Inc,2021-02-18,2020-12-31,0.64,USD
EOG,EOG Resources Inc,2021-02-25,2020-12-31,0.31,USD
EPAC,Enerpac Tool Group Corp - Class A,2021-03-17,2021-02-28,0.12,USD
EPAM,EPAM Systems Inc,2021-02-18,2020-12-31,1.71,USD
EPAY,Bottomline Technologies (Delaware) Inc,2021-01-28,2020-12-31,0.28,USD
EPC,Edgewell Personal Care Company,2021-02-08,2020-12-31,0.25,USD
EPD,Enterprise Products Partners L P,2021-02-03,2020-12-31,0.5,USD
EPR,EPR Properties,2021-02-22,2020-12-31,-0.25,USD
EPRT,Essential Properties Realty Trust Inc,2021-03-01,2020-12-31,0.15,USD
EPSN,Epsilon Energy Ltd,2021-03-16,2020-12-31,,USD
EPZM,Epizyme Inc,2021-02-22,2020-12-31,-0.58,USD
EQ,Equillium Inc,2021-02-08,2020-12-31,,USD
EQC,Equity Commonwealth,2021-02-10,2020-12-31,-0.03,USD
EQH,Equitable Holdings Inc,2021-02-24,2020-12-31,1.21,USD
EQIX,Equinix Inc,2021-02-10,2020-12-31,1.52,USD
EQM,EQM,2021-02-25,2020-12-31,,USD
EQR,Equity Residential Properties Trust,2021-02-10,2020-12-31,0.24,USD
EQT,EQT Corp,2021-02-25,2020-12-31,-0.25,USD
ERI,ERI,2021-02-24,2020-12-31,,USD
ERIE,Erie Indemnity Co. - Class A,2021-02-25,2020-12-31,1.21,USD
ES,Eversource Energy,2021-02-17,2020-12-31,0.84,USD
ESE,Esco Technologies Inc,2021-02-02,2020-12-31,0.49,USD
ESEA,Euroseas Ltd,2021-02-17,2020-12-31,0.05,USD
ESGR,Enstar Group Ltd,2021-02-25,2020-12-31,,USD
ESGRO,Enstar Group Ltd Depositary Shs Each Repstg 11000 Int Sh Perpetual Non Cumulative Pref Sh,2021-02-25,2020-12-31,,USD
ESI,Element Solutions Inc,2021-02-24,2020-12-31,0.28,USD
ESNT,Essent Group Ltd,2021-02-12,2020-12-31,1.2,USD
ESPR,Esperion Therapeutics Inc,2021-02-25,2020-12-31,-3.61,USD
ESRT,Empire State Realty Trust Inc Class A,2021-02-17,2020-12-31,,USD
ESRT,Empire State Realty Trust Inc Class A,2021-04-20,2021-03-31,,USD
ESS,Essex Property Trust Inc,2021-02-04,2020-12-31,1.01,USD
ESSA,ESSA Bancorp Inc,2021-01-27,2020-12-31,0.43,USD
ET,Energy Transfer LP,2021-02-17,2020-12-31,0.25,USD
ETFC,ETFC,2021-04-21,2021-03-31,,USD
ETH,Ethan Allen Interiors Inc,2021-01-28,2020-12-31,0.46,USD
ETM,Entercom Communications Corp - Class A,2021-02-23,2020-12-31,0.19,USD
ETN,Eaton Corporation plc,2021-02-02,2020-12-31,1.2,USD
ETON,Eton Pharmaceuticals Inc,2021-02-08,2020-12-31,-0.26,USD
ETR,Entergy Corp,2021-02-17,2020-12-31,0.65,USD
ETSY,Etsy Inc,2021-02-24,2020-12-31,0.57,USD
ETTX,Entasis Therapeutics Holdings Inc,2021-03-09,2020-12-31,-0.39,USD
EV,Eaton Vance Corp (Non Voting),2021-02-24,2021-01-31,,USD
EVA,Enviva Partners LP,2021-02-24,2020-12-31,0.54,USD
EVBG,Everbridge Inc,2021-02-16,2020-12-31,0.02,USD
EVC,Entravision Communication,2021-03-03,2020-12-31,0.19,USD
EVFM,Evofem Biosciences Inc,2021-03-10,2020-12-31,-0.36,USD
EVH,Evolent Health Inc - Class A,2021-02-23,2020-12-31,-0.04,USD
EVK,Ever-Glory International Group Inc,2021-03-29,2020-12-31,,USD
EVOP,EVO Payments Inc - Class A,2021-02-25,2020-12-31,0.22,USD
EVR,Evercore Inc Class A,2021-02-03,2020-12-31,2.12,USD
EVR,Evercore Inc Class A,2021-04-20,2021-03-31,,USD
EVRG,Evergy Inc,2021-03-01,2020-12-31,0.25,USD
EVRI,Everi Holdings Inc,2021-03-01,2020-12-31,0.01,USD
EVTC,Evertec Inc,2021-02-23,2020-12-31,0.54,USD
EW,Edwards Lifesciences Corp,2021-01-27,2020-12-31,0.53,USD
EW,Edwards Lifesciences Corp,2021-04-21,2021-03-31,,USD
EWBC,East West Bancorp Inc,2021-01-28,2020-12-31,1.02,USD
EWBC,East West Bancorp Inc,2021-04-21,2021-03-31,,USD
EXC,Exelon Corp,2021-02-09,2020-12-31,0.68,USD
EXEL,Exelixis Inc,2021-02-10,2021-01-31,0.05,USD
EXLS,Exlservice Hldgs Inc,2021-02-25,2020-12-31,1.07,USD
EXP,Eagle Materials Inc,2021-01-28,2020-12-31,1.74,USD
EXPD,Expeditors International of Washington,2021-02-16,2020-12-31,1.07,USD
EXPE,Expedia Group Inc,2021-02-11,2020-12-31,-1.92,USD
EXPO,Exponent Inc,2021-02-04,2021-01-31,0.28,USD
EXPR,Express Inc,2021-03-09,2021-02-28,-0.69,USD
EXR,Extra Space Storage Inc,2021-02-16,2020-12-31,0.9,USD
EXTN,Exterran Corp,2021-02-24,2020-12-31,-0.4,USD
EXTR,Extreme Networks Inc,2021-01-27,2020-12-31,0.11,USD
EYE,National Vision Holdings Inc,2021-02-24,2020-12-31,0.13,USD
EYPT,EyePoint Pharmaceuticals Inc,2021-03-03,2020-12-31,-0.18,USD
EZPW,EZCorp Inc - Class A,2021-02-01,2020-12-31,-0.04,USD
F,Ford Motor Company,2021-02-04,2020-12-31,-0.08,USD
FAF,First American Financial Corp,2021-02-11,2020-12-31,1.59,USD
FAF,First American Financial Corp,2021-04-22,2021-03-31,,USD
FANG,Diamondback Energy Inc,2021-02-22,2020-12-31,0.8,USD
FANH,CNinsure Inc,2021-03-16,2020-12-31,,CNY
FARO,Faro Technologies Inc,2021-02-17,2020-12-31,0.13,USD
FAST,Fastenal Company,2021-04-12,2021-03-31,,USD
FB,Facebook Inc - Class A,2021-01-27,2020-12-31,3.19,USD
FBHS,Fortune Brands Home & Security Inc,2021-02-02,2020-12-31,1.16,USD
FBIO,Fortress Biotech Inc,2021-03-15,2020-12-31,-0.16,USD
FBIOP,Fortress Biotech Inc,2021-03-15,2020-12-31,,USD
FBIZ,First Business Financial Services Inc,2021-04-21,2021-03-31,,USD
FBK,FB Financial Corp,2021-01-25,2020-12-31,0.81,USD
FBM,Foundation Building Materials Inc,2021-02-22,2020-12-31,0.16,USD
FBP,First Bancorp PR,2021-01-29,2020-12-31,0.21,USD
FCEL,Fuelcell Energy Inc,2021-03-15,2021-01-31,,USD
FCF,First Commonwealth Financial Corp,2021-01-26,2020-12-31,0.23,USD
FCFS,FirstCash Inc,2021-01-28,2020-12-31,0.81,USD
FCFS,FirstCash Inc,2021-04-21,2021-03-31,,USD
FCN,FTI Consulting Inc,2021-02-23,2020-12-31,1.17,USD
FCNCA,First Citizens BancShares Inc,2021-01-26,2020-12-31,,USD
FCPT,Four Corners Property Trust Inc,2021-02-10,2020-12-31,0.29,USD
FCRD,First Eagle Alternative Capital BDC Inc,2021-03-03,2020-12-31,0.1,USD
FCX,Freeport-McMoRan Inc,2021-01-26,2020-12-31,0.38,USD
FCX,Freeport-McMoRan Inc,2021-04-22,2021-03-31,,USD
FDP,Fresh Del Monte Produce Inc,2021-02-17,2020-12-31,-0.16,USD
FDS,Factset Research Systems Inc,2021-03-24,2021-02-28,2.73,USD
FDUS,Fidus Investment Corp,2021-02-25,2020-12-31,0.34,USD
FDX,Fedex Corp,2021-03-18,2021-02-28,3.33,USD
FE,Firstenergy Corp,2021-02-05,2020-12-31,0.5,USD
FE,Firstenergy Corp,2021-04-21,2021-03-31,,USD
FELE,Franklin Electric Co. Inc,2021-02-16,2020-12-31,0.52,USD
FELPQ,FELPQ,2021-04-05,2021-03-31,,USD
FENC,Fennec Pharmaceuticals Inc,2021-02-12,2020-12-31,-0.19,USD
FENG,Phoenix New Media Ltd,2021-03-22,2020-12-31,,CNY
FET,Forum Energy Technologies Inc,2021-02-10,2020-12-31,-5.2,USD
FEYE,FireEye Inc,2021-02-02,2020-12-31,0.1,USD
FF,Futurefuel Corp,2021-03-11,2020-12-31,,USD
FFBC,First Financial Bancorp,2021-01-28,2020-12-31,0.46,USD
FFBC,First Financial Bancorp,2021-04-19,2021-03-31,,USD
FFG,FBL Financial Group Inc - Class A,2021-02-04,2020-12-31,1.24,USD
FFIC,Flushing Financial Corp,2021-01-28,2020-12-31,0.42,USD
FFIN,First Financial Bankshares Inc,2021-04-21,2021-03-31,,USD
FFWM,First Foundation Inc,2021-01-26,2020-12-31,0.44,USD
FGBI,First Guaranty Bancshares,2021-02-02,2020-12-31,0.39,USD
FGEN,FibroGen Inc,2021-03-01,2020-12-31,-0.2,USD
FGPR,FGPR,2021-03-09,2021-01-31,0.47,USD
FGPRQ,FGPRQ,2021-03-09,2020-12-31,-0.34,USD
FHB,First Hawaiian INC,2021-01-22,2020-12-31,0.44,USD
FHB,First Hawaiian INC,2021-04-22,2021-03-31,,USD
FHI,Federated Hermes Inc - Class B,2021-01-28,2020-12-31,0.79,USD
FHN,First Horizon Corp,2021-01-22,2020-12-31,0.33,USD
FHN,First Horizon Corp,2021-04-19,2021-03-31,,USD
FI,Franks International N.V.,2021-02-23,2020-12-31,-0.08,USD
FIBK,First Interstate BancSystem Inc - Class A,2021-01-28,2020-12-31,0.77,USD
FICO,Fair Isaac Corp,2021-01-28,2020-12-31,2.29,USD
FII,FII,2021-01-28,2020-12-31,,USD
FIS,Fidelity National Information Services Inc,2021-02-11,2020-12-31,1.62,USD
FISI,Financial Institutions Inc,2021-01-28,2020-12-31,0.7,USD
FISV,Fiserv Inc,2021-02-02,2020-12-31,1.29,USD
FIT,Fitbit Inc - Class A,2021-02-18,2020-12-31,-0.01,USD
FITB,Fifth Third Bancorp,2021-04-20,2021-03-31,,USD
FITBO,Fifth Third Bancorp 4.95 PRF PERPETUAL USD 25 Ser K Rp11000th,2021-04-19,2021-03-31,,USD
FITBP,Fifth Third Bancorp 6 PRF PERPETUAL USD 1000 Sr A Rp 140 Dp Cl B,2021-04-19,2021-03-31,,USD
FIVE,Five Below Inc,2021-03-16,2021-02-28,2.1,USD
FIVN,Five9 Inc,2021-02-17,2020-12-31,0.23,USD
FIX,Comfort Systems USA Inc,2021-02-24,2020-12-31,0.84,USD
FIXX,Homology Medicines Inc,2021-03-10,2020-12-31,-0.68,USD
FIZZ,National Beverage Corp,2021-03-03,2021-02-28,0.71,USD
FL,Foot Locker Inc,2021-02-26,2020-11-30,1.26,USD
FLDM,Fluidigm Corp,2021-02-10,2020-12-31,-0.07,USD
FLEX,Flex Ltd,2021-01-28,2020-12-31,0.37,USD
FLIC,First Of Long Island Corp,2021-01-28,2020-12-31,0.42,USD
FLIR,Flir Systems Inc,2021-02-25,2020-12-31,,USD
FLO,Flowers Foods Inc,2021-02-03,2020-12-31,0.24,USD
FLOW,SPX FLOW Inc,2021-02-09,2020-12-31,0.38,USD
FLR,Fluor Corp,2021-02-26,2020-12-31,0.17,USD
FLS,Flowserve Corp,2021-02-15,2020-12-31,0.53,USD
FLT,Fleetcor Technologies Inc,2021-02-04,2020-12-31,2.82,USD
FLWS,1-800 Flowers.com Inc - Class A,2021-01-28,2020-12-31,1.38,USD
FLXS,Flexsteel Industries Inc,2021-01-25,2020-12-31,,USD
FLY,Fly Leasing LtdADR,2021-02-25,2020-12-31,-0.15,USD
FMAO,Farmers & Merchants Bancorp Inc,2021-02-03,2020-12-31,0.39,USD
FMAO,Farmers & Merchants Bancorp Inc,2021-04-22,2021-03-31,,USD
FMBI,First Midwest Bancorp Inc,2021-01-26,2020-12-31,0.27,USD
FMC,FMC Corp,2021-02-09,2020-12-31,1.78,USD
FMNB,Farmers National Banc Corp,2021-01-27,2020-12-31,0.33,USD
FN,Fabrinet,2021-02-01,2020-12-31,1.04,USD
FNB,F.N.B. Corp,2021-04-21,2021-03-31,,USD
FND,Floor & Decor Holdings Inc - Class A,2021-02-18,2020-12-31,0.43,USD
FNF,Fidelity National Financial Inc,2021-02-11,2020-12-31,1.18,USD
FNF,Fidelity National Financial Inc,2021-04-20,2021-03-31,,USD
FNHC,Federated National Holding Company,2021-02-24,2020-12-31,-1.48,USD
FNLC,First Bancorp Inc (ME),2021-04-20,2021-03-31,,USD
FNWB,First Northwest Bancorp,2021-01-25,2020-12-31,,USD
FOCS,Focus Financial Partners Inc - Class A,2021-02-18,2020-12-31,0.77,USD
FOE,Ferro Corp,2021-03-01,2020-12-31,0.19,USD
FOLD,Amicus Therapeutics Inc,2021-03-01,2020-12-31,-0.23,USD
FONR,Fonar Corp,2021-02-08,2020-12-31,,USD
FOR,Forestar Group Inc New,2021-04-21,2021-03-31,,USD
FORM,FormFactor Inc,2021-02-03,2020-12-31,0.39,USD
FORR,Forrester Research Inc,2021-02-11,2020-12-31,0.32,USD
FOSL,Fossil Group Inc,2021-02-24,2020-12-31,,USD
FOXA,Fox Corporation - Class A,2021-02-09,2020-12-31,-0.14,USD
FOXF,Fox Factory Holding Corp,2021-03-01,2021-01-31,0.78,USD
FPI,Farmland Partners Inc,2021-03-09,2020-12-31,0.27,USD
FR,First Industrial Realty Trust Inc,2021-02-10,2020-12-31,0.11,USD
FR,First Industrial Realty Trust Inc,2021-04-20,2021-03-31,,USD
FRANQ,FRANQ,2021-01-30,2020-10-31,,USD
FRBA,FIRSTBANK,2021-01-27,2020-12-31,0.31,USD
FRC,First Republic Bank,2021-04-12,2021-03-31,1.48,USD
FRGI,Fiesta Restaurant Group Inc,2021-02-24,2020-12-31,0.07,USD
FRME,First Merchants Corp,2021-01-28,2020-12-31,0.66,USD
FRME,First Merchants Corp,2021-04-21,2021-03-31,,USD
FROG,JFrog Ltd,2021-02-11,2020-12-31,0.02,USD
FRT,Federal Realty Investment Trust,2021-02-11,2020-12-31,0.3,USD
FRTA,Forterra Inc,2021-02-24,2020-12-31,0.07,USD
FSCT,FSCT,2021-02-04,2020-12-31,,USD
FSLR,First Solar Inc,2021-02-18,2020-12-31,1.22,USD
FSLY,Fastly Inc - Class A,2021-02-17,2020-12-31,-0.1,USD
FSP,Franklin Street Properties Corp,2021-02-09,2020-12-31,-0.03,USD
FSS,Federal Signal Corp,2021-02-25,2020-12-31,0.41,USD
FTAI,Fortress Transportation and Infrastructure Investors LLC,2021-02-25,2020-12-31,-0.15,USD
FTCH,Farfetch Limited Class A,2021-02-25,2020-12-31,-0.34,USD
FTDR,Frontdoor Inc,2021-02-18,2020-12-31,0.05,USD
FTFT,Future FinTech Group Inc,2021-03-08,2020-12-31,,USD
FTI,TechnipFMC plc,2021-02-24,2020-12-31,0.2,USD
FTI,TechnipFMC plc,2021-04-20,2021-03-31,,USD
FTK,Flotek Industries Inc,2021-03-03,2020-12-31,-0.11,USD
FTNT,Fortinet Inc,2021-02-04,2020-12-31,0.96,USD
FTR,FTR,2021-03-15,2020-12-31,,USD
FTRCQ,FTRCQ,2021-03-15,2020-12-31,,USD
FTV,Fortive Corp,2021-02-04,2020-12-31,0.62,USD
FUL,H.B. Fuller Company,2021-01-25,2020-11-30,0.85,USD
FUL,H.B. Fuller Company,2021-03-23,2021-02-28,,USD
FULT,Fulton Financial Corp,2021-04-19,2021-03-31,,USD
FUN,Cedar Fair LP,2021-02-17,2020-12-31,-2.24,USD
FVRR,Fiverr International Ltd no par value,2021-02-18,2020-12-31,0.12,USD
FWONA,Liberty Media Corp (Tracking Stock -Liberty Formula 1) Series A,2021-02-24,2020-12-31,0.01,USD
FWONK,Liberty Media Corp (Tracking Stock -Liberty Formula 1) Series C,2021-02-24,2020-12-31,,USD
FWRD,Forward Air Corp,2021-02-04,2020-12-31,0.74,USD
G,Genpact Ltd,2021-02-09,2020-12-31,0.49,USD
GABC,German American Bancorp Inc,2021-01-25,2020-12-31,0.58,USD
GAIN,Gladstone Investment Corp,2021-02-02,2020-12-31,0.14,USD
GAINM,Gladstone Investment Corporation 625 Series D Cumulative Term Preferred Stock,2021-02-02,2020-12-31,,USD
GALT,Galectin Therapeutics Inc,2021-03-15,2020-12-31,-0.16,USD
GAM,General American Investors Company Inc,2021-02-18,2020-12-31,,USD
GAN,GAN Ltd,2021-02-15,2020-12-31,-0.07,USD
GARS,GARS,2021-03-10,2020-12-31,,USD
GASS,StealthGas Inc,2021-02-19,2020-12-31,0.14,USD
